gene,ob_lfc,ob_padj,rescue_lfc,rescue_padj,ceil_lfc,ceil_padj,ex_lfc,ex_padj,is_rescued,is_normalized,class
Akr1c18,2.696282730832837,7.987179229235933e-11,-1.8156068822298752,0.0146340142682399,0.8050571120540432,0.922934613029911,0.0887464440299574,0.9997708173996,True,True,Fully rescued
Gng4,1.050578142249906,0.0392655831691204,0.2712331645479884,0.9080524618775494,1.5029786152434752,0.0011466292219573175,-0.1780270950786071,0.9997708173996,False,False,Exercise-resistant
S1pr3,1.1127843217247415,0.0001883614853549,-0.8151603181511575,0.028652134435151,0.3459980935539097,0.7370078036283251,-0.0449647289775316,0.9997708173996,True,True,Fully rescued
Ntrk2,-0.9787851812385192,0.0118105582908118,1.2519306753756596,0.004373275527181,0.19873378604396258,0.9996496209943752,0.0652863050507316,0.9997708173996,True,True,Fully rescued
Gas1,-1.0874166065243889,0.0001870732426625,0.924468107895576,0.2430968308612447,-0.44973073374018613,0.9461883001897438,0.2871795055358282,0.9997708173996,True,True,Fully rescued
Lhfpl2,0.7195816805015709,0.0079544726880079,-1.0956733532197296,0.005090727119089,0.40635444103618645,0.997798806318627,-0.7756452477993812,0.5169381633862734,True,True,Fully rescued
F2r,1.8760494134216927,0.0037821491824019,-0.2619458194127222,0.9462633138980232,1.7861803876728588,0.0687868032277961,-0.2116529558950655,0.9997708173996,True,True,Fully rescued
Fst,-0.8991596379328958,0.0001318277289536,1.434985318569204,3.345627091158867e-07,0.0743515629793056,0.9996496209943752,0.4576378582840763,0.605698603844358,True,True,Fully rescued
Fgf10,-2.3482070106748414,0.005096390867378,1.8552707994389233,0.2178139497742986,-0.9660131160627001,0.3319092237505268,0.4470431209732438,0.9873866647527584,True,True,Fully rescued
Cadps,-1.4180865250371713,0.028317403379759,1.0683921702284724,0.1743685249842457,-0.2863150057357815,0.9996496209943752,-0.0635010625284904,0.9997708173996,True,True,Fully rescued
Plac9b,1.3733501101027823,0.034109249178075,-0.9131177557502322,0.2512829566537657,0.01563295640559262,0.9996496209943752,0.4494170144847869,0.9997708173996,True,True,Fully rescued
Wnt5a,-0.8257672543187555,0.0028239049013394,0.7538046478186167,0.028652134435151,-0.31914041719950853,0.7178330097866537,0.2461831617442808,0.9997708173996,True,True,Fully rescued
Nefl,1.7194205160583598,0.0003267042054136,-0.5770944208730796,0.6805672270383579,1.496964735663128,3.5305984078428935e-05,-0.3618304559946792,0.9997708173996,True,False,Partially rescued
Spry2,0.9073747410115632,0.049798228270745,-0.5592233839925577,0.6307267977128619,0.40572857342937463,0.9608328113546618,-0.0574094163690055,0.9997708173996,True,True,Fully rescued
Matn2,1.0523157670233765,0.000251099249403,-0.8186271423830592,0.008630432687375,0.12872852023164041,0.9996496209943752,0.1021229269409176,0.9997708173996,True,True,Fully rescued
Angpt1,-2.186676997038084,9.766847504807038e-05,1.1582190366711094,0.4529806259073236,-0.5936219670167822,0.9461883001897438,-0.4254261105947278,0.9997708173996,True,True,Fully rescued
Tnfrsf11b,0.9588474195607032,0.0009616159126695,-1.2016299439953295,0.6529028627678093,0.3083083458148538,0.9996496209943752,-0.5407702200984005,0.9958141485593308,True,True,Fully rescued
Ccn3,0.8256480458790456,0.0008678029735985,-0.7693431015570261,0.3762819952089827,0.18986115742246168,0.9996496209943752,-0.130916787053854,0.9997708173996,True,True,Fully rescued
Gm49257,2.4449017817805454,0.0001350885051912,-1.2922119626655864,0.018355419173786,1.2083898347170303,0.32908683705860403,-0.0668289367279765,0.9997708173996,True,True,Fully rescued
Ppl,-2.64666404460248,0.0006100636488953,3.773561986456786,0.0755179556731394,-0.27064181844095503,0.9996496209943752,1.2888361075725443,0.1652380080931038,True,True,Fully rescued
Col8a1,2.227556564709237,1.9598161460928723e-06,-2.296186492125606,1.426978888873139e-09,2.4527606833167708,0.026204310672925234,-2.5063213389846823,0.8496287620553592,True,False,Partially rescued
Map3k7cl,2.4720577263598824,0.003854389651244,-2.260576803853762,0.0382330686636597,0.7863713189641051,0.9996496209943752,-0.5809330550589776,0.9997708173996,True,True,Fully rescued
Clic6,-2.9534695823992108,4.297483672271743e-06,3.1371841336529194,1.920697670983974e-06,0.05204914444024578,0.9996496209943752,0.1092192844305103,0.9997708173996,True,True,Fully rescued
Thbs2,0.6749757116245867,0.049798228270745,-0.7208436599425696,0.1026542322225697,0.1738818391911677,0.9996496209943752,-0.2186314367313348,0.9997708173996,True,True,Fully rescued
C4b,2.0971129582772767,8.204488716104947e-06,-1.0194554510987668,0.8393932099968888,-0.006912913228761645,0.9999967190824025,1.064021876276254,0.6081738512532506,True,True,Fully rescued
Slc29a1,-0.7323518790642541,0.0141332129083772,1.0740711325153902,0.004906308107292,-0.1933871691519751,0.9996496209943752,0.5306793300938374,0.4233299323696018,True,True,Fully rescued
Rftn1,0.7241809490844526,0.0410721319732615,-1.1817650808461333,0.0006555432963518,0.17341124427670748,0.9996496209943752,-0.6231603110863578,0.7046740093951253,True,True,Fully rescued
Ptprs,0.8197018942117372,0.0410721319732615,-0.5852143577761791,0.5107826233168887,0.3446570204967521,0.997798806318627,-0.1048030387704072,0.9997708173996,True,True,Fully rescued
Colec12,-0.7473158281774144,0.006250721749742,0.575796689596288,0.3997159676967352,-0.3276276849049102,0.9461883001897438,0.1559020207755938,0.9997708173996,True,True,Fully rescued
Dtna,0.9470558763153216,0.0422662791596029,-1.0010936822016716,0.1910061147229786,0.03764220765375788,0.9996496209943752,-0.0862704008598363,0.9997708173996,True,True,Fully rescued
Cystm1,-2.5149140979928144,0.0114687332679495,2.5758159216458436,0.0603724529389655,0.09218086632963082,0.9996496209943752,-0.0868509578921007,0.9997708173996,True,True,Fully rescued
Ppp2r2b,-1.548832697707366,0.0011033224715426,0.7269945976832578,0.5608179013095431,-0.5691632588219061,0.6516545815611053,-0.2715536496732068,0.9997708173996,True,True,Fully rescued
Tnfaip8,-3.753767671145553,0.0036194477390324,2.833399204862072,0.2052656014768832,-1.2235848356894587,0.291847906051181,0.3119911999587584,0.9997708173996,True,True,Fully rescued
Lox,0.9124752510841406,0.0278003177085066,-0.6121106832237898,0.7537924431798484,0.7164525307418806,0.9996496209943752,-0.4161815678862946,0.9997708173996,True,True,Fully rescued
Gstp2,1.9296778366255267,0.0327172938603537,-1.0859119453614834,0.4057516250130872,-0.09674341363318897,0.9996496209943752,0.9492234280643108,0.9007062253245195,True,True,Fully rescued
Gna14,1.2819325645819266,0.042444433743309,-0.6577675342531112,0.6221581237163325,1.4687052041757098,0.07628124242333062,-0.817931971896097,0.9958141485593308,True,True,Fully rescued
Glis3,1.181682345443141,0.0096396351085988,-0.6720450309480318,0.3069710213459294,0.8963901411329368,0.2661720299951276,-0.3759726194063574,0.9997708173996,True,True,Fully rescued
Ankrd1,1.7753722936414518,6.411429819216313e-05,-1.1560902639518122,0.028652134435151,1.3407527784886437,0.009317763228824863,-0.7175203335158891,0.933480021915592,True,False,Partially rescued
Rbp4,-2.864941991809788,0.0079084429840364,3.900722067228639,0.0002380985698911,-0.35274781601209704,0.9996496209943752,1.3598486968316048,0.3616515181927789,True,True,Fully rescued
Timp1,2.713550078657532,2.6764083792116416e-21,-2.723476977004498,5.375524988484329e-26,0.5144184560486819,0.7178330097866537,-0.522858015833191,0.9641271249194696,True,True,Fully rescued
C430049B03Rik,3.993247948978363,1.7168337815859228e-06,-2.996881880960869,3.0224760336961368e-05,2.00130179094531,0.8922837536727622,-0.9983871949841944,,True,True,Fully rescued
Tmem35a,1.1845738249888504,0.0410721319732615,-1.4094751773767102,0.0008096920206172,-0.24431161487201178,0.9996496209943752,0.0155344679733837,0.9997708173996,True,True,Fully rescued
Nrk,2.337680988326301,0.0010187150793343,-2.8103722810061296,0.0018916977911209,0.6089791470081078,0.9996496209943752,-1.0999974900960814,0.9997708173996,True,True,Fully rescued
Col4a6,-1.38172560246429,0.007234926768546,0.9685859527225208,0.4246783247561341,-0.33932828187446457,0.9996496209943752,-0.040317642386244,0.9997708173996,True,True,Fully rescued
Col4a5,-0.7026712415217542,0.0410721319732615,0.223426622783482,0.8465870562912164,-0.20453441376383563,0.9996496209943752,-0.2760566043975731,0.9997708173996,True,True,Fully rescued
